Económica;Explicación;07.01;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;249,75;249,75;249.750,00
42;A la Seguridad Social;249,75;249,75;249.750,00
—;TOTAL PROGRAMA 000X;—;249,75;249.750,00
