Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
07.01;48;A familias e instituciones sin fines de lucro;81.093,93;81.093.930,00
07.01;481;Pensiones e indemnizaciones de guerra;81.093,93;81.093.930,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;81.093,93;81.093.930,00
—;—;TOTAL PROGRAMA 212B – Pensiones de guerra;81.093,93;81.093.930,00
