Económica;Explicación;20.50;Total (miles  euros);Total (euros)
7;TRANSFERENCIAS DE CAPITAL;10.000,00;10.000,00;10.000.000,00
77;A empresas privadas;10.000,00;10.000,00;10.000.000,00
—;TOTAL PROGRAMA 43NB – Digitalización turística;—;10.000,00;10.000.000,00
