Económica;Explicación;Total (miles euros);Total (euros)
2;Gastos corrientes en bienes y servicios;500;500.000,00
29;Gastos corrientes en bienes y servicios. MRR;500;500.000,00
4;Transferencias corrientes;10.000,00;10.000.000,00
45;A Comunidades Autónomas;10.000,00;10.000.000,00
6;Inversiones reales;500;500.000,00
69;Inversiones reales. MRR;500;500.000,00
;TOTAL PROGRAMA;11.000,00;11.000.000,00
