Económica;Explicación;34.01;Total (miles euros);Total (euros)
3;GASTOS FINANCIEROS;12.500,00;12.500,00;12.500.000,00
35;Intereses de demora y otros gastos financieros;12.500,00;12.500,00;12.500.000,00
4;TRANSFERENCIAS CORRIENTES;17.766.350,00;17.766.350,00;17.766.350.000,00
49;Al exterior;17.766.350,00;17.766.350,00;17.766.350.000,00
—;TOTAL;—;17.778.850,00;17.778.850.000,00
