Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
34.01;49;Al exterior (Transferencias corrientes);94.000,00;94.000.000,00
34.01;499;Aportación al Fondo Europeo de Apoyo a la Paz;94.000,00;94.000.000,00
34.01;79;Al exterior (Transferencias de capital);170.000,00;170.000.000,00
34.01;791;Aportación al Fondo Europeo de Desarrollo (FED);170.000,00;170.000.000,00
—;—;TOTAL Dirección General Fondos Comunitarios;264.000,00;264.000.000,00
—;—;TOTAL Programa 943N – Cooperación UE;264.000,00;264.000.000,00
