Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
25.50;—;Mecanismo de Recuperación y Resiliencia;500.000,00;500.000.000,00
—;—;TOTAL PROGRAMA C02.I02;500.000,00;500.000.000,00
