Económica;Explicación;Total (miles euros);Total (euros)
1;Gastos de Personal;53.702,12;53.702.120,00
10;Altos cargos;141,34;141.340,00
11;Personal eventual;256,06;256.060,00
12;Funcionarios;1.610,44;1.610.440,00
13;Laborales;159,08;159.080,00
15;Incentivos al rendimiento;1.217,48;1.217.480,00
150;Productividad;1.135,39;1.135.390,00
151;Gratificaciones;82,09;82.090,00
16;Cuotas, prestaciones y gastos sociales;229,64;229.640,00
16000;Seguridad Social;229,64;229.640,00
16200;Formación y perfeccionamiento del personal;450;450.000,00
16201;Economatos y comedores;175;175.000,00
16204;Acción social;357,62;357.620,00
2;Gastos Corrientes en Bienes y Servicios;2.271,08;2.271.080,00
22;Material, suministros y otros;1.831,29;1.831.290,00
22601;Atenciones protocolarias y representativas;11,7;11.700,00
23;Indemnizaciones por razón del servicio;439,79;439.790,00
202;Arrendamientos de edificios;3.829,00;3.829.000,00
22502;Locales;198,71;198.710,00
3;Gastos Financieros;—;—
4;Transferencias Corrientes;49.964,00;49.964.000,00
44;A entidades del Sector Público Estatal;5.000,00;5.000.000,00
442;Fundación Internacional y para Iberoamérica;5.000,00;5.000.000,00
48;A familias e instituciones sin fines de lucro;1.229,00;1.229.000,00
481;Red Española de Desarrollo Sostenible, FEMP, CRUE, etc.;429;429.000,00
486;Fundaciones de partidos políticos;800;800.000,00
49;Al exterior;43.735,00;43.735.000,00
492;Contribuciones estratégicas a OO Multilaterales;43.735,00;43.735.000,00
7;Transferencias de Capital;10.000,00;10.000.000,00
74;A entidades del Sector Público Estatal;10.000,00;10.000.000,00
740;Fondo de Cooperación para Agua y Saneamiento;10.000,00;10.000.000,00
8;Activos Financieros;234.230,00;234.230.000,00
87;Aportaciones patrimoniales;234.230,00;234.230.000,00
873;Fondo de Cooperación para Agua y Saneamiento;15.000,00;15.000.000,00
874;Fondo para la Promoción del Desarrollo (FONPRODE);219.230,00;219.230.000,00
461–48916;Diversas entidades colaboradoras (IFEMA, Fundación Carolina, IECAH, etc.);—;—
—;TOTAL PROGRAMA 143A;998.051,19;998.051.190,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
