Económica;Explicación;Total (miles euros);Total (euros)
2;Gastos Corrientes en Bienes y Servicios;400;400.000,00
22;Material, suministros y otros;400;400.000,00
6;Inversiones Reales;1.359,66;1.359.660,00
—;TOTAL PROGRAMA 467G;1.759,66;1.759.660,00
