Clasificación por programas;Explicación;Importe (miles Euros);Importe (euros)
912N;Alto asesoramiento del Estado;14.686,84;14.686.840,00
—;TOTAL CONSOLIDADO;14.686,84;14.686.840,00
—;TOTAL;14.686,84;14.686.840,00
