Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
37.01;75;A Comunidades Autónomas;10.556,17;10.556.170,00
37.01;751;A la Comunidad Autónoma de Andalucía;10.556,17;10.556.170,00
37.01;75100;Infraestructuras transporte metropolitano de Sevilla (según convenio con el Estado);5.586,73;5.586.730,00
37.01;75101;Infraestructuras transporte metropolitano de Málaga (según convenio con el Estado);4.969,44;4.969.440,00
;;Transferencias de capital;10.556,17;10.556.170,00
;;Secretaría General – Comunidades Autónomas;10.556,17;10.556.170,00
;;Programa 453A – Infraestructura transporte ferroviario;10.556,17;10.556.170,00
