Económica;Explicación; 37.02;Total (miles euros);Total (euros)
4;Transferencias corrientes;1.708.840,56;1.708.840,56;1.708.840.560,00
46;A Entidades Locales;1.708.840,56;1.708.840,56;1.708.840.560,00
7;Transferencias de capital;198.552,30;198.552,30;198.552.300,00
76;A Entidades Locales;198.552,30;198.552,30;198.552.300,00
—;TOTAL;1.907.392,86;1.907.392,86;1.907.392.860,00
