Económica;Explicación;Orgánica 37.01;Total (mil €);Total (€)
4;Transferencias corrientes;101.726,02;101.726,02;101.726.020,00 €
45;A Comunidades Autónomas;101.726,02;101.726,02;101.726.020,00 €
7;Transferencias de capital;271.461,22;271.461,22;271.461.220,00 €
75;A Comunidades Autónomas;271.461,22;271.461,22;271.461.220,00 €
—;TOTAL;373.187,24;373.187,24;373.187.240,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
