;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;1.879.924,35;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;227.742,60;
3; GASTOS FINANCIEROS;655,77;
4; TRANSFERENCIAS CORRIENTES;158.695,94;
;TOTAL OPERACIONES CORRIENTES;2.267.018,66;
6; INVERSIONES REALES;201.331,01;
7; TRANSFERENCIAS DE CAPITAL;20.234,25;
;TOTAL OPERACIONES DE CAPITAL;221.565,26;
;TOTAL OPERACIONES NO FINANCIERAS;2.488.583,92;
8; ACTIVOS FINANCIEROS;692,03;
;TOTAL PRESUPUESTO;2.489.275,95;
4; TRANSFERENCIAS CORRIENTES;-97.926,95;
7; TRANSFERENCIAS DE CAPITAL;-20.234,25;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-118.161,20;
;TOTAL CONSOLIDADO;2.371.114,75;
;;



