;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 36 FONDOS DE COMPENSACIÓN INTERTERRITORIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;;;755;Fondo de Compensación;;46.592,68;
v;;;756;Fondo Complementario;;15.529,34;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;62.122,02;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;62.122,02;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;62.122,02;
 ; ;;;;;;
 ; ;;;;;;
v;14;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;;
v;;941N;;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;21.492,92;
v;;;755;Fondo de Compensación;;16.120,09;
v;;;756;Fondo Complementario;;5.372,83;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;21.492,92;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;21.492,92;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;21.492,92;
 ; ;;;;;;
 ; ;;;;;;
v;17;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;;
v;;941N;;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;17.281,18;
v;;;755;Fondo de Compensación;;12.961,21;
v;;;756;Fondo Complementario;;4.319,97;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;17.281,18;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;17.281,18;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;17.281,18;
 ; ;;;;;;
 ; ;;;;;;
v;18;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;;
v;;941N;;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;3.309,52;
v;;;755;Fondo de Compensación;;2.482,20;
v;;;756;Fondo Complementario;;827,32;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;3.309,52;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;3.309,52;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;3.309,52;
 ; ;;;;;;
 ; ;;;;;;
v;19;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;;
v;;941N;;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;3.309,52;
v;;;755;Fondo de Compensación;;2.482,20;
v;;;756;Fondo Complementario;;827,32;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;3.309,52;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;3.309,52;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;3.309,52;
 ; ;;;;;;
 ; ;;;;;;
v;20;;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;;
v;;941N;;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;150.000,00;
v;;;759;Para financiar la incorporación de remanentes de crédito de los Fondos de Compensación Interterritorial;;150.000,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;150.000,00;
 ; ;;;;;;
;;;;TOTAL Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;;150.000,00;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;150.000,00;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL FONDOS DE COMPENSACIÓN INTERTERRITORIAL;;582.430,00;
;;



