Programa;Económica;Explicación;Total (miles euros);Total (euros)
132A;1;GASTOS DE PERSONAL;1.772,21;1.772.210,00
132A;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;483,53;483.530,00
132A;6;INVERSIONES REALES;11.100,00;11.100.000,00
132A;7;TRANSFERENCIAS DE CAPITAL;2.000,00;2.000.000,00
132A;8;ACTIVOS FINANCIEROS;10;10.000,00
—;—;TOTAL Programa 132A;15.365,74;15.365.740,00
16.102;;Gerencia de Infraestructuras y Equipamiento de la Seguridad del Estado;15.365,74;15.365.740,00
