Económica;Explicación;13.08;Total (miles euros);Total (euros)
6;INVERSIONES REALES;1.582,63;1.582,63;1.582.630,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;620,26;620,26;620.260,00
63;Inversión de reposición asociada al funcionamiento operativo;31,37;31,37;31.370,00
64;Gastos de inversiones de carácter inmaterial;931;931;931.000,00
;TOTAL Investigación y desarrollo de la Sociedad de la Información;1.582,63;1.582,63;1.582.630,00
