Económica;Explicación;17.50;Total (miles euros);Total (euros)
6;INVERSIONES REALES;19.810,86;19.810,86;19.810.860,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;19.810,86;19.810,86;19.810.860,00
7;TRANSFERENCIAS DE CAPITAL;296.870,26;296.870,26;296.870.260,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;296.870,26;296.870,26;296.870.260,00
—;TOTAL PROGRAMA 45FC C06.I03 – Intermodalidad y logística;—;316.681,12;316.681.120,00
