Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
01.01;4;TRANSFERENCIAS CORRIENTES;8.431,15;8.431.150,00
01.01;48;A familias e instituciones sin fines de lucro;8.431,15;8.431.150,00
01.01;480;A S.M. el Rey. Para el sostenimiento de su Familia y Casa (Art. 65 CE);8.431,15;8.431,15
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
