Económica;Explicación;01.01;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;8.431,15;8.431,15;8.431.150,00
48;A familias e instituciones sin fines de lucro;8.431,15;8.431,15;8.431.150,00
TOTAL;—;8.431,15;8.431,15;8.431.150,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
