Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
37.02;46;A Entidades Locales;1.708.840,56;1.708.840.560,00
37.02;461;Compensaciones que puedan reconocerse a los municipios;5.362,40;5.362.400,00
37.02;463;A Entidades Locales con saldo global negativo de la liquidación de 2020;1.681.828,16;1.681.828.160,00
37.02;464;Costes de funcionamiento de plantas desalinizadoras en Ceuta y Melilla;8.000,00;8.000.000,00
37.02;465;Actuaciones en Melilla;10.250,00;10.250.000,00
37.02;466;Actuaciones en Ceuta;3.250,00;3.250.000,00
37.02;469;Actuaciones en diversas Entidades Locales;150;150.000,00
37.02;46903;SALINAS DE AÑANA – Fundación Valle Salado;150;150.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;1.708.840,56;1.708.840.560,00
37.02;76;A Entidades Locales;198.552,30;198.552.300,00
37.02;765;Inversiones en municipios del Campo de Gibraltar;7.300,00;7.300.000,00
37.02;766;Reconstrucción por siniestros, catástrofes u otras urgencias;58.322,99;58.322.990,00
37.02;768;Plan de recuperación de La Palma;100.000,00;100.000.000,00
37.02;769;Actuaciones en diversas Entidades Locales;32.929,31;32.929.310,00
37.02;76910;Diputación Foral de Gipuzkoa – Albergue en Orio;5.000,00;5.000.000,00
37.02;76911;Ayuntamiento de Sukarrieta – Reparación camino peatonal;600;600.000,00
37.02;76912;Diputación Foral de Bizkaia – Desarrollo sostenible en Urdaibai;25.329,31;25.329.310,00
37.02;76913;Ayuntamiento de Vilanova i la Geltrú – Espacio social y comunitario;2.000,00;2.000.000,00
—;—;TOTAL TRANSFERENCIAS DE CAPITAL;198.552,30;198.552.300,00
—;—;TOTAL SECRETARÍA GENERAL – ENTIDADES LOCALES;1.907.392,86;1.907.392.860,00
—;—;TOTAL PROGRAMA 942N – Otras transferencias a Entidades Locales;1.907.392,86;1.907.392.860,00
