;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
111N; Dirección y Servicios Generales de Justicia;134.941,34;;;134.941,34;
111Q; Formación del Personal de la Administración de Justicia;;10.154,97;;10.154,97;
111R; Formación de la Carrera Fiscal;;10.112,18;;10.112,18;
112A; Tribunales de Justicia y Ministerio Fiscal;1.963.188,44;;;1.963.188,44;
113M; Registros vinculados con la Fe Pública;36.669,01;;;36.669,01;
135M; Protección de datos de carácter personal;;;18.420,74;18.420,74;
222M; Prestaciones económicas del Mutualismo Administrativo;;26.682,41;;26.682,41;
312E; Asistencia sanitaria del Mutualismo Administrativo;;101.490,42;;101.490,42;
337A; Administración del Patrimonio Histórico-Nacional;;121.131,72;;121.131,72;
337D; Administración de los Reales Patronatos;;5.511,51;;5.511,51;
42KD; C11.I04 Plan de Transición Energética en la Administración General del Estado;;22.050,98;;22.050,98;
462M; Investigación y estudios sociológicos y constitucionales;;17.177,75;;17.177,75;
467G; Investigación y desarrollo de la Sociedad de la Información;1.582,63;;;1.582,63;
911Q; Apoyo a la gestión administrativa de la Jefatura del Estado;7.775,83;;;7.775,83;
912M; Presidencia del Gobierno;55.594,40;;;55.594,40;
912O; Relaciones con las Cortes Generales, Secretariado del Gobierno y apoyo a la Alta Dirección;48.341,99;;;48.341,99;
921Q; Cobertura informativa;78.363,60;;;78.363,60;
921R; Publicidad de las normas legales;;;32.124,74;32.124,74;
921S; Asesoramiento y defensa de los intereses del Estado;44.657,51;;;44.657,51;
;TOTAL CONSOLIDADO;2.371.114,75;314.311,94;50.545,48;2.735.972,17;
000X; Transferencias y libramientos internos;118.161,20;;1.319,70;119.480,90;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;118.161,20;;1.319,70;119.480,90;
;TOTAL;2.489.275,95;314.311,94;51.865,18;2.855.453,07;
;;



