Económica;Explicación;17.50 ;Total (miles euros);Total (euros)
7;TRANSFERENCIAS DE CAPITAL;358.989,77;358.989,77;358.989.770,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;358.989,77;358.989,77;358.989.770,00
—;TOTAL PROGRAMA 45AC C01.I03 – Mejora de calidad y fiabilidad en Cercanías;—;358.989,77;358.989.770,00
