Económica;Explicación;17.20 ;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;84.279,24;84.279,24;84.279.240,00
47;A empresas privadas;84.279,24;84.279,24;84.279.240,00
471;Transporte del plátano de Canarias;20.000,00;20.000,00;20.000.000,00
478;Subvención al transporte marítimo y aéreo de mercancías en territorios extrapeninsulares;64.279,24;64.279,24;64.279.240,00
—;TOTAL PROGRAMA 441P – Transporte extrapeninsular de mercancías;—;84.279,24;84.279.240,00
