Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
17.50;—;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;132.000,00;132.000.000,00
—;—;TOTAL PROGRAMA 45FD C06.I04 – Transporte sostenible y digital;132.000,00;132.000.000,00
