Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.50;—;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;2.580,17;2.580.170,00
—;—;TOTAL PROGRAMA 46AA C01.I01 – Zonas de bajas emisiones + I+D+i + Digitalización;2.580,17;2.580.170,00
