Económica;Explicación;17.01 ;Total (miles euros);Total (euros)
6;INVERSIONES REALES;980;980;980.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;980;980;980.000,00
—;TOTAL PROGRAMA 467G – Investigación y desarrollo de la Sociedad de la Información;980;980;980.000,00
