;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 335A Música y danza;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
;762;Al Ajuntament de Tortosa para ampliación auditorio municipal y centro convenciones;;2.500,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;4.551,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;30,00;
;830;Préstamos a corto plazo;;30,00;
;;TOTAL ACTIVOS FINANCIEROS;;30,00;
 ; ;;;;
;;TOTAL INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA;;120.371,25;
 ; ;;;;
 ; ;;;;
;;TOTAL Música y danza;;122.626,25;
;;



