Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8 ;Total (miles euros);Total (euros)
14SB;C19.I02 Transformación Digital de la Educación. Política Exterior;—;72,6;—;—;251,51;—;—;324,11;324,11;324.110,00
144B;Cooperación, promoción y difusión educativa en el exterior;1.348,79;601,54;—;9.292,92;—;—;—;11.243,25;11.243,25;11.243.250,00
24TA;C20.I01 Reskilling y upskilling – Fomento del Empleo;—;—;—;73.500,00;—;—;—;73.500,00;73.500,00;73.500.000,00
241B;Formación Profesional para el Empleo;1.953,50;20.787,53;—;1.150.576,33;5.068,90;—;—;1.178.386,26;1.178.386,26;1.178.386.260,00
32SA;C19.I01 Competencias digitales transversales – Educación;—;—;—;42.000,00;—;—;—;42.000,00;42.000,00;42.000.000,00
32SB;C19.I02 Transformación Digital de la Educación – Educación;1.292,82;769,55;—;—;57.741,64;—;—;59.804,01;59.804,01;59.804.010,00
32TA;C20.I01 Reskilling y upskilling – Educación;—;5.647,13;—;433.153,29;—;—;—;438.800,42;438.800,42;438.800.420,00
32TB;C20.I02 Transformación Digital de la Formación Profesional;—;—;—;142.615,67;444,2;—;—;143.059,87;143.059,87;143.059.870,00
32TC;C20.I03 Innovación e internacionalización de la FP;6.020,06;1.047,60;—;186.135,57;—;—;—;193.203,23;193.203,23;193.203.230,00
32TR;C20.R01 Plan de modernización de la FP;99,56;300,44;—;—;—;—;—;400,00;400,00;400.000,00
32UA;C21.I01 Creación de plazas de Educación Infantil pública;—;—;—;134.774,30;—;1.435,70;—;136.210,00;136.210,00;136.210.000,00
32UB;C21.I02 Programa #PROA+;1.435,71;—;—;119.190,79;—;—;—;120.626,50;120.626,50;120.626.500,00
32UC;C21.I03 Unidades de Acompañamiento y Orientación;895,52;—;—;55.039,40;—;—;—;55.934,92;55.934,92;55.934.920,00
32US;C21.R02 Nuevo modelo curricular;—;400;—;—;—;—;—;400,00;400,00;400.000,00
321M;Dirección y Servicios Generales de Educación, FP y Deportes;64.439,36;14.703,98;285,26;477,00;4.684,05;—;86,06;84.675,71;84.675,71;84.675.710,00
321N;Formación permanente del profesorado;3,87;800,61;—;1.032,96;10;—;—;1.847,44;1.847,44;1.847.440,00
322A;Educación Infantil y Primaria;178.677,71;531,78;—;15.485,89;—;—;—;194.695,38;194.695,38;194.695.380,00
322B;Educación Secundaria, FP y Escuelas Oficiales de Idiomas;93.693,48;15.407,32;—;41.565,16;991,84;—;432.090,70;583.748,50;583.748,50;583.748.500,00
322E;Enseñanzas artísticas;4.459,14;298,83;—;—;—;—;—;4.757,97;4.757,97;4.757.970,00
322F;Educación en el exterior;100.576,56;9.484,83;42,28;28,00;25;—;—;110.156,67;110.156,67;110.156.670,00
322G;Educación compensatoria;2.078,06;389,91;—;1.676,10;—;—;—;4.144,07;4.144,07;4.144.070,00
322L;Inversiones en centros educativos y otras actividades;23.589,29;10.797,39;—;58.454,46;2.865,30;301.000,00;—;396.706,44;396.706,44;396.706.440,00
323M;Becas y ayudas a estudiantes;1.136,35;172,02;1;2.548.474,73;—;—;—;2.549.784,10;2.549.784,10;2.549.784.100,00
33ZA;Plan de Digitalización del Sector Deporte;—;43.279,13;—;2.450,00;1.212,80;10.450,00;—;57.391,93;57.391,93;57.391.930,00
33ZB;Plan de Transición Ecológica de Instalaciones Deportivas;—;2.271,54;—;2.000,00;26.641,65;38.085,00;—;68.998,19;68.998,19;68.998.190,00
33ZC;Plan Social del Sector Deporte;—;4.000,00;—;6.240,00;—;5.760,00;—;16.000,00;16.000,00;16.000.000,00
336A;Fomento y apoyo de las actividades deportivas;15.044,17;18.177,84;160;192.482,09;4.234,11;17.832,66;655;248.585,87;248.585,87;248.585.870,00
TOTAL CONSOLIDADO;;496.743,95;149.941,57;488,54;5.216.644,66;104.171,00;374.563,36;432.831,76;7.121.789,29;7.121.789,29;7.121.789.290,00
