Económica;Explicación;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;1.810.566,58;1.810.566.580
—;TOTAL OPERACIONES CORRIENTES;1.810.566,58;1.810.566.580
7;TRANSFERENCIAS DE CAPITAL;480.569,69;480.569.690
—;TOTAL OPERACIONES DE CAPITAL;480.569,69;480.569.690
—;TOTAL OPERACIONES NO FINANCIERAS;2.291.136,27;2.291.136.270
—;TOTAL PRESUPUESTO;2.291.136,27;2.291.136.270
—;TOTAL CONSOLIDADO;2.291.136,27;2.291.136.270
