;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 06 DEUDA PÚBLICA;
;Programa: 951M Amortización y gastos financieros de la deuda pública en euros;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;06.01;06.02;06.03;06.04;06.05;Total;
3;GASTOS FINANCIEROS;29.210.853,96;627.264,96;1.100.000,00;93.422,17;185.001,00;31.216.542,09;
30; De deuda pública en euros;29.210.853,96;;1.100.000,00;15.975,74;155.000,00;30.481.829,70;
31; De préstamos en euros;;627.264,96;;77.446,43;30.000,00;734.711,39;
35; Intereses de demora y otros gastos financieros;;;;;1,00;1,00;
9;PASIVOS FINANCIEROS;90.986.637,89;4.091.430,14;1.000,00;2.442.643,98;25,00;97.521.737,01;
90; Amortización de deuda pública en euros;90.986.637,89;;1.000,00;;25,00;90.987.662,89;
91; Amortización de préstamos en euros;;4.091.430,14;;2.442.643,98;;6.534.074,12;
;TOTAL;120.197.491,85;4.718.695,10;1.101.000,00;2.536.066,15;185.026,00;128.738.279,10;
;;



