Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total (miles euros);Total (euros)
141M; Dirección y Servicios Generales de Asuntos Exteriores, Unión Europea y Cooperación;59.700,77;23.735,97;6;543,19;11.869,80;;22,8;95.878,53;95.878,53;95.878.530,00
142A; Acción del Estado en el exterior;292.002,95;99.566,46;19,04;412.116,52;51.292,79;;759,6;855.757,36;855.757,36;855.757.360,00
142B; Acción Diplomática ante la Unión Europea;19.033,69;4.174,83;0,89;684,56;505,78;;;24.399,75;24.399,75;24.399.750,00
143A; Cooperación para el desarrollo;53.702,12;42.052,30;44,7;605.523,90;7.255,15;55.157,02;234.316,00;998.051,19;998.051,19;998.051.190,00
144A; Cooperación, promoción y difusión cultural en el exterior;69.629,31;68.337,67;675;2.883,00;6.847,97;;50;148.422,95;148.422,95;148.422.950,00
467G; Investigación y desarrollo de la Sociedad de la Información;;400;;;1.359,66;;;1.759,66;1.759,66;1.759.660,00
;TOTAL CONSOLIDADO;494.068,84;238.267,23;745,63;1.021.751,17;79.131,15;55.157,02;235.148,40;2.124.269,44;2.124.269,44;2.124.269.440,00
000X; Transferencias y libramientos internos;;;;646.617,32;;17.918,22;;664.535,54;664.535,54;664.535.540,00
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;646.617,32;;17.918,22;;664.535,54;664.535,54;664.535.540,00
;TOTAL;494.068,84;238.267,23;745,63;1.668.368,49;79.131,15;73.075,24;235.148,40;2.788.804,98;2.788.804,98;2.788.804.980,00
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
