Económica;Explicación;Total (miles euros);Total (euros)
4;Transferencias corrientes;8.431,15;8.431.150,00
—;Total operaciones corrientes;8.431,15;8.431.150,00
—;Total operaciones no financieras;8.431,15;8.431.150,00
—;Total presupuesto;8.431,15;8.431.150,00
—;Total consolidado;8.431,15;8.431.150,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
