Económica;Explicación;33.50 ;Total (miles euros);Total (euros)
6;INVERSIONES REALES;233.393,17;233.393,17;233.393.170,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;233.393,17;233.393,17;233.393.170,00
—;TOTAL PROGRAMA 46KA – C11.I01;233.393,17;233.393,17;233.393.170,00
