Económica;Explicación;33.50;Total (miles euros);Total (euros)
74002;A Red.es – Programa UNI_DIGITAL para digitalización universitaria;10.000,00;10.000,00;10.000.000,00
—;TOTAL PROGRAMA 46UE – C21.I05;10.000,00;10.000,00;10.000.000,00
