Clasif. por programas;Explicación;Estado (mil €);Total (mil €);Total (€)
261N;Promoción, administración y ayudas para rehabilitación y acceso a vivienda;165;165;165.000,00
TOTAL CONSOLIDADO;;165;165;165.000,00
TOTAL GENERAL;;165;165;165.000,00
