Económica;Explicación;10.01 ;Total (miles euros);Total (euros)
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;317.051,70;317.051,70;317.051.700,00
22;Material, suministros y otros;317.051,70;317.051,70;317.051.700,00
3;GASTOS FINANCIEROS;20;20;20.000,00
35;Intereses de demora y otros gastos financieros;20;20;20.000,00
—;TOTAL PROGRAMA 923R – Contratación centralizada;317.071,70;317.071,70;317.071.700,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
