 Económica;Explicación; 23.50;23.106;Total (miles euros);Total (euros)
6;INVERSIONES REALES;—;5.000,00;5.000,00;5.000.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;—;5.000,00;5.000,00;5.000.000,00
7;TRANSFERENCIAS DE CAPITAL;492.980,19;—;492.980,19;492.980.190,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;487.980,19;—;487.980,19;487.980.190,00
75;A Comunidades Autónomas;5.000,00;—;5.000,00;5.000.000,00
—;TOTAL PROGRAMA C05.I02;492.980,19;5.000,00;497.980,19;497.980.190,00
