 Económica;Explicación;Orgánica ;Total (miles euros);Total (euros)
7;Transferencias de capital;23.50;150.000,00;150.000.000,00
77;A empresas privadas;23.50;150.000,00;150.000.000,00
—;TOTAL PROGRAMA C08.I02;—;150.000,00;150.000.000,00
