Económica;Explicación;23.50;Total (miles euros);Total (euros)
7;TRANSFERENCIAS DE CAPITAL;370.000,00;370.000,00;370.000.000,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;370.000,00;370.000,00;370.000.000,00
—;TOTAL PROGRAMA C05.I03;—;370.000,00;370.000.000,00
