Clasificación por programas;Explicación;Estado ;Total (miles euros);Total (euros)
951M;Amortización y gastos financieros de la deuda pública en euros;97.521.737,01;97.521.737,01;97.521.737.010,00
—;TOTAL CONSOLIDADO;—;97.521.737,01;97.521.737.010,00
—;TOTAL GENERAL;—;97.521.737,01;97.521.737.010,00
