Económica;Explicación;28.103;28.301;Total (miles euros);Total (euros)
6;Inversiones reales;2.326,52;26.706,03;29.032,55;29.032.550,00
69;Inversiones reales – Mecanismo de Recuperación y Resiliencia (MRR);2.326,52;26.706,03;29.032,55;29.032.550,00
—;TOTAL;2.326,52;26.706,03;29.032,55;29.032.550,00
