Económica;Explicación; 28.50 ;Total (miles euros);Total (euros)
7;Transferencias de capital;8.530,00;8.530,00;8.530.000,00
74;A sociedades, entidades públicas empresariales, fundaciones y resto del sector público estatal;8.530,00;8.530,00;8.530.000,00
—;TOTAL PROGRAMA C21.I05;8.530,00;8.530,00;8.530.000,00
