Económica;Explicación;28.301;Total (miles euros);Total (euros)
6;Inversiones reales;440;440;440.000,00
69;Inversiones reales – Mecanismo de Recuperación y Resiliencia (MRR);440;440;440.000,00
—;TOTAL PROGRAMA C04.I03;440;440;440.000,00
