Económica;Explicación;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;20.499.792,31;20.499.792.310,00
—;TOTAL OPERACIONES CORRIENTES;20.499.792,31;20.499.792.310,00
—;TOTAL OPERACIONES NO FINANCIERAS;20.499.792,31;20.499.792.310,00
—;TOTAL PRESUPUESTO;20.499.792,31;20.499.792.310,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-249,75;-249.750,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-249,75;-249.750,00
—;TOTAL CONSOLIDADO;20.499.542,56;20.499.542.560,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
