Económica;Explicación;35.01 ;Total (miles euros);Total (euros)
5;Fondo de Contingencia y otros imprevistos;3.964.420,00;3.964.420,00;3.964.420.000,00
50;Dotación al Fondo de Contingencia de ejecución presupuestaria;3.964.420,00;3.964.420,00;3.964.420.000,00
—;TOTAL;3.964.420,00;3.964.420,00;3.964.420.000,00
