Clasificación por programas;Explicación;Total (miles euros);Total (euros)
912N;Alto asesoramiento del Estado;14.686,84;14.686.840,00
—;TOTAL CONSOLIDADO;14.686,84;14.686.840,00
—;TOTAL;14.686,84;14.686.840,00
