Económica;Explicación;Sección 20.50 (miles €);Total (miles €);Total (€)
6;Inversiones reales;3.000,00;3.000,00;3.000.000,00 €
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;3.000,00;3.000,00;3.000.000,00 €
—;TOTAL;3.000,00;3.000,00;3.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
