Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.50;—;Mecanismo de Recuperación y Resiliencia;497.000,00;497.000.000,00
—;—;TOTAL C14.I01 Transformación del modelo turístico;497.000,00;497.000.000,00
