Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.50;444;A la EOI para la Estrategia Española Nación Emprendedora. Programa Digital Innovation Hubs (MRR);20.000,00;20.000.000,00
—;—;TOTAL Mecanismo de Recuperación y Resiliencia;65.000,00;65.000.000,00
—;—;TOTAL C13.I03 Digitalización e Innovación I. PYMES;65.000,00;65.000.000,00
