Orgánica;Económica;Explicación;Total (miles €);Total (€)
20.103;—;Centro Español de Metrología;7.410,00;7.410.000,00 €
—;—;TOTAL C12.I02 Otras Actuaciones de Carácter Económico;7.410,00;7.410.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
