Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.50;441;A la EOI para la Estrategia Española Nación Emprendedora (MRR);56.000,00;56.000.000,00
20.50;74700;A la Compañía Española de Reafianzamiento, S.A. (CERSA) (MRR);112.000,00;112.000.000,00
20.50;74701;A CERSA para el Programa de Apoyo al Emprendimiento Industrial (MRR);30.000,00;30.000.000,00
—;—;TOTAL Mecanismo de Recuperación y Resiliencia;198.000,00;198.000.000,00
—;—;TOTAL C13.I02 Crecimiento. PYMES;198.000,00;198.000.000,00
