Orgánica;Económica;Explicación;Total (miles €);Total (€)
20.50;—;Mecanismo de Recuperación y Resiliencia;3.000,00;3.000.000,00 €
—;—;TOTAL C13.I01 Emprendimiento. Industria;3.000,00;3.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
