Económica;Explicación;20.09;Total (miles  euros);Total (euros)
8;ACTIVOS FINANCIEROS;1.601.150,14;1.601.150,14;1.601.150.140,00
82;Préstamos al Sector Público;255.000,00;255.000,00;255.000.000,00
823;Aportaciones reembolsables a empresas (Programas de Defensa – Sector Público);255.000,00;255.000,00;255.000.000,00
83;Préstamos fuera del Sector Público;1.346.150,14;1.346.150,14;1.346.150.140,00
832;Aportaciones reembolsables a empresas (Programas de Defensa – Sector Privado);1.346.150,14;1.346.150,14;1.346.150.140,00
—;TOTAL PROGRAMA 464B – Apoyo a la innovación tecnológica en el sector de la defensa;—;1.601.150,14;1.601.150.140,00
