Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.50;—;Mecanismo de Recuperación y Resiliencia;42.000,00;42.000.000,00
—;—;TOTAL C14.I02 Programa de digitalización e inteligencia para destinos y sector turístico;42.000,00;42.000.000,00
