Económica;Explicación;20.50;Total (miles  euros);Total (euros)
7;Transferencias de capital;1.000.000,00;1.000.000,00;1.000.000.000,00
77;A empresas privadas;1.000.000,00;1.000.000,00;1.000.000.000,00
—;TOTAL;1.000.000,00;1.000.000,00;1.000.000.000,00
