Orgánica;Económica;Explicación;Total (miles €);Total (€)
20.50;—;Mecanismo de Recuperación y Resiliencia;10.000,00;10.000.000,00 €
—;—;TOTAL C14.I02 Programa de digitalización e inteligencia para destinos y sector turístico;10.000,00;10.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
